gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Aaas,13.48721261,0.081464058,0.142829048,0.570360575,0.568433163,0.771946699
Aacs,41.11419713,0.24638276,0.113013723,2.180113645,0.029249039,0.091718243
Aadac,0.057853481,0.311062392,2.466396037,0.126120212,0.899636768,NA
Aadacl2,0.077020978,0.317393148,2.981507799,0.106453905,0.915222226,NA
Aadacl2fm1,0.009491917,0.446767342,2.982254355,0.149808598,0.880915626,NA
Aadacl2fm2,0.024671733,0.27967627,2.978489362,0.093898697,0.925189629,NA
Aadacl2fm3,0.063355053,1.034241402,1.687859764,0.612753159,0.540039567,NA
Aadacl3,0.172725794,0.800252018,2.979764605,0.26856216,0.788266635,NA
Aadacl4,0.00923089,0.146854435,2.981926858,0.049248168,0.960721525,NA
Aadacl4fm1,0.00115315,0.497336606,2.982298994,0.166762825,0.86755667,NA
Aadacl4fm2,0.004103771,0.539924266,2.979900895,0.181188665,0.856219491,NA
AAdacl4fm3,0.022286936,0.366293845,2.976003802,0.123082452,0.902041807,NA
Aadacl4fm4,0,NA,NA,NA,NA,NA
Aadacl4fm5,0,NA,NA,NA,NA,NA
Aadat,1.003268374,0.324791445,0.34720642,0.935441934,0.349560594,0.568319349
Aaed1,30.70883227,-0.096202218,0.150926578,-0.637410713,0.523857352,0.73481186
Aagab,39.20726279,0.254416056,0.068849857,3.695229987,0.000219688,0.001913883
Aak1,531.8815228,-0.128772058,0.060811823,-2.117549715,0.034213221,0.103502531
Aamdc,32.95900398,0.312232998,0.065676798,4.754083761,1.99348E-06,3.9961E-05
Aamp,30.15983417,0.366903616,0.141699634,2.58930532,0.009616978,0.03863241
Aanat,9.311813432,0.102538037,0.12484969,0.821291881,0.411480031,0.632311521
Aar2,21.83518742,0.050621996,0.110612424,0.457651992,0.647202484,0.830394768
Aard,7.596908773,-0.114126042,0.202555371,-0.563431331,0.573141208,0.775508126
Aars,49.03590568,0.099248298,0.097045744,1.022696047,0.306451581,0.51932021
Aars2,17.88092192,-0.034921473,0.093800342,-0.372295794,0.70967263,0.871121592
Aarsd1,0,NA,NA,NA,NA,NA
Aasdh,19.83423977,0.260484971,0.105420054,2.470924282,0.013476435,0.049971209
Aasdhppt,13.80580611,0.687648954,0.111782701,6.151658068,7.66771E-10,4.79199E-08
Aass,0.688636939,0.307985552,0.452173522,0.681122483,0.495793992,0.710720879
Aatf,106.9592754,-0.022110823,0.058662761,-0.376914111,0.706237435,0.869680639
Aatk,90.889577,-0.235141959,0.061297603,-3.836070998,0.000125018,0.001217204
Abat,259.6157592,0.011726195,0.038183593,0.307100352,0.75876699,0.900902044
Abca1,15.52423295,-0.218295224,0.214108182,-1.019555727,0.307939211,0.520960854
Abca12,1.521163291,-0.020547195,0.376692715,-0.054546302,0.95649992,0.985747991
Abca13,4.020804941,0.647090888,0.240560426,2.689930751,0.007146685,0.030499174
Abca14,2.717323881,1.158795909,0.357925378,3.23753492,0.001205672,0.007518095
