gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
a,4.966536824,0.593598715,0.280330036,2.117499511,0.034217477,0.139587786
A1bg,0.037686367,0.738957964,2.982870046,0.247733878,0.804340318,NA
A1cf,0.419918709,0.15291698,0.709355704,0.215571651,0.829321655,0.921392369
A2m,0.910431086,-0.71924286,0.461880426,-1.557205761,0.119421641,0.316247755
A3galt2,0.8511224,0.360311321,0.562103722,0.641005043,0.521519406,0.735417775
A4galt,0.95400285,0.650377584,0.477496659,1.362056827,0.173179952,0.395414622
A4gnt,0.016773122,0.500472311,2.98297363,0.167776311,0.86675926,NA
Aaas,4.707634997,-0.027664697,0.216816502,-0.127594979,0.898469505,0.955718263
Aacs,8.549433839,-0.048935815,0.133227186,-0.36731103,0.713387028,0.860081006
Aadac,0.028079913,0.163126179,2.982769246,0.054689507,0.956385829,NA
Aadacl2,0,NA,NA,NA,NA,NA
Aadacl3,0.061554041,0.636636776,2.982454351,0.213460694,0.830967644,NA
Aadat,0.076462125,0.372221233,1.852600597,0.20091823,0.840762513,NA
Aaed1,6.350244268,-0.012136382,0.258453423,-0.046957716,0.962546928,0.982135183
Aagab,10.81290229,0.362008851,0.13984972,2.588556141,0.009637924,0.059226035
Aak1,149.9110245,-0.070338272,0.052635267,-1.336333527,0.181440283,0.406126396
Aamdc,11.43370043,0.390547142,0.128444224,3.040597147,0.002361095,0.022765944
Aamp,8.745962429,0.395352706,0.182146963,2.170514952,0.029967857,0.12792053
Aanat,2.360016259,0.089677091,0.282584864,0.317345697,0.750981306,0.881734285
Aar2,6.795347944,0.157940902,0.160445757,0.984388154,0.3249247,0.57320406
Aard,2.081723188,-0.250382679,0.282486286,-0.886353397,0.375427123,0.616930356
Aars,14.1399695,0.008391019,0.144164553,0.058204451,0.953585775,0.978676877
Aars2,5.223168037,0.363045937,0.195954228,1.852707852,0.063924244,0.210673684
Aasdh,6.015641319,0.266793446,0.16386422,1.62813728,0.10349578,0.288994919
Aasdhppt,4.305766525,0.413443759,0.206523856,2.001917684,0.045293585,0.167862045
Aass,0.304312386,0.214869229,0.785962513,0.273383559,0.78455839,NA
Aatf,27.19611961,-0.023456884,0.084594011,-0.277287762,0.781559156,0.897797567
Aatk,28.50242806,-0.231436269,0.095419088,-2.425471402,0.01528852,0.080790462
AB041806,0.861325578,0.464405401,0.446556216,1.039970748,0.298353491,0.547104697
