gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
a,0.939436976,0.920392659,0.418528148,2.1991177,0.027869554,0.218052994
A1bg,0,NA,NA,NA,NA,NA
A1cf,0.064507287,1.886381423,2.084411949,0.904994535,0.365468282,NA
A2m,0.254554828,0.924960931,0.70975171,1.303217616,0.192500478,0.423267952
A3galt2,0.19317735,1.457110082,0.794626993,1.833703229,0.066698059,0.286280507
A4galt,0.153401574,1.764501916,0.957780994,1.842281196,0.065434029,0.283977843
A4gnt,0,NA,NA,NA,NA,NA
Aaas,0.745668206,0.21977579,0.398083093,0.552085214,0.580889972,0.738841861
Aacs,1.224720369,-0.011874592,0.317310132,-0.037422669,0.970147998,0.983691246
Aadac,0,NA,NA,NA,NA,NA
Aadacl2,0,NA,NA,NA,NA,NA
Aadacl3,0.018883518,1.707810687,2.981225804,0.572855194,0.566742744,NA
Aadat,0.010397209,1.774115289,2.97845938,0.595648643,0.551409973,NA
Aaed1,1.13125565,0.103597535,0.399945732,0.259028981,0.79561288,0.882819905
Aagab,2.003306754,0.264853528,0.258932863,1.022865638,0.306371378,0.527031774
Aak1,31.68863443,0.197215922,0.113977342,1.730308131,0.083575238,0.308052624
Aamdc,1.556901003,0.632627374,0.280776958,2.253131375,0.024250867,0.208074441
Aamp,2.216395982,0.377908936,0.317355649,1.190805766,0.233729845,0.462703187
Aanat,0.350073477,0.731390248,0.500285055,1.461947024,0.143755728,0.377210268
Aar2,1.292586528,0.628663983,0.32506264,1.933977963,0.053115837,0.266152555
Aard,0.334605344,1.178565222,0.473952444,2.486674007,0.012894349,0.179160476
Aars,1.900364013,0.333628746,0.320830147,1.039892134,0.298390018,0.521265512
Aars2,0.684164147,0.377282797,0.45256904,0.833646943,0.404479964,0.606581852
Aasdh,0.768347522,0.715942339,0.336909634,2.125027799,0.033584293,0.234168151
Aasdhppt,0.584069945,0.46885129,0.478152774,0.980547047,0.326816158,0.544249366
Aass,0.017867149,1.293243098,2.977408589,0.434351907,0.664032916,NA
Aatf,3.315407181,0.213233362,0.218931779,0.973971721,0.330070581,0.546868935
Aatk,5.985606932,-0.173643092,0.181521029,-0.956600416,0.338768979,0.553446954
Abat,13.6443057,0.11783569,0.103351899,1.140140544,0.254227753,0.482075945
Abca1,0.954659502,1.328432433,0.6580021,2.018887833,0.043498879,0.249272619
Abca12,0.034905948,1.717076084,1.928265431,0.890477035,0.373209794,NA
Abca13,0.061222073,1.573212002,1.774636541,0.886498145,0.375349153,NA
Abca14,0.103845928,2.235423763,1.954833952,1.143536391,0.252815954,NA
Abca15,0.053797856,1.486393084,1.550494503,0.958657435,0.337731348,NA
Abca16,0.089594647,2.015089247,1.227326412,1.641852751,0.100620524,NA
Abca17,0.827988123,1.706897915,0.605854632,2.817339054,0.004842338,0.13264551
Abca2,4.165655224,0.452781338,0.329360214,1.374729915,0.169215193,0.401879298
Abca3,5.661436283,-0.210351118,0.15829592,-1.328847375,0.183898329,0.416044377
