gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
a,2.671151679,0.525982874,0.335281984,1.568777625,0.116699764,0.302660824
A1bg,0.023987267,0.776226483,2.982739325,0.260239464,0.794679065,NA
A1cf,0.317099152,0.082124841,0.875853397,0.093765511,0.92529543,0.967078175
A2m,0.303832504,-0.798490183,0.628459931,-1.270550665,0.203888548,0.430295204
A3galt2,0.421369915,0.555252126,0.725624455,0.765205917,0.444148937,0.673324606
A4galt,0.493966248,0.689935353,0.507116608,1.360506327,0.173669752,0.391344218
A4gnt,0.01185489,0.532721935,2.982700655,0.178603888,0.858248741,NA
Aaas,2.852014695,0.061374632,0.236603369,0.25939881,0.795327548,0.906352035
Aacs,5.359844424,0.062223688,0.159374482,0.390424407,0.696222743,0.854595587
Aadac,0.017997006,0.189531964,2.982618951,0.063545484,0.949332142,NA
Aadacl2,0,NA,NA,NA,NA,NA
Aadacl3,0.002552335,0.679797055,2.982748215,0.227909634,0.819716493,NA
Aadat,0.033822096,0.444196244,2.981719612,0.148973177,0.881574798,NA
Aaed1,4.130017532,0.318810248,0.337528439,0.944543367,0.344892052,0.585388985
Aagab,6.801777787,0.479970814,0.165561964,2.899040353,0.003743067,0.028464397
Aak1,91.8913178,-0.09672743,0.06257496,-1.545784916,0.122156521,0.311654594
Aamdc,6.926059768,0.396388576,0.141474517,2.801837282,0.00508125,0.035481385
Aamp,5.13857558,0.478598341,0.209146795,2.288336964,0.022117906,0.09908794
Aanat,1.42166985,0.178794256,0.370818122,0.482161593,0.629691158,0.811658589
Aar2,3.25178398,0.080212871,0.191156955,0.419617854,0.674764644,0.841840361
Aard,1.192835397,-0.491548142,0.319823819,-1.536934126,0.124309442,0.315329562
Aars,9.031664576,-0.049839446,0.148658682,-0.335260921,0.73742827,0.875542516
Aars2,3.276307222,0.530934959,0.230411361,2.304291584,0.021206281,0.09623769
Aasdh,4.030133301,0.231187626,0.182523943,1.266615337,0.205292866,0.432343214
Aasdhppt,2.863623491,0.618468622,0.274525365,2.252865126,0.024267654,0.105646516
Aass,0.248171372,0.642437042,0.911636858,0.704707182,0.480992481,NA
Aatf,20.71516982,-0.005076436,0.084456105,-0.060107387,0.952070107,0.977959481
Aatk,16.77604832,-0.198404615,0.100057333,-1.982909289,0.047377563,0.167310413
Abat,74.43626674,0.145263293,0.096805624,1.500566672,0.133467677,0.330255201
Abca1,1.447949794,-0.010401149,0.384266432,-0.027067546,0.97840586,0.989665402
Abca12,0.203579556,-0.628477769,1.223384195,-0.513720687,0.607447286,NA
Abca13,0.831328581,0.891480091,0.535318647,1.665326055,0.095847723,0.266486665
Abca14,0.505039555,0.842380572,0.692829049,1.21585631,0.224039664,0.456199014
Abca15,0.192576154,1.187767985,1.322475231,0.898140061,0.369110884,NA
Abca16,0.256690614,0.701717424,0.591776383,1.185781393,0.235708641,NA
Abca17,1.880060325,-0.552780849,0.365087843,-1.514103687,0.129999544,0.324987517
Abca2,7.86519716,0.147439307,0.151436731,0.973603339,0.330253528,0.571473386
Abca3,21.5209955,-0.10136344,0.085713746,-1.182580915,0.23697528,0.472598112
Abca4,0.564603985,0.639939206,0.529937743,1.207574313,0.227211045,0.460049845
Abca5,28.25847374,-0.166086937,0.071709352,-2.316112631,0.02055212,0.094073553
Abca6,3.818666404,0.761263358,0.193721491,3.92967943,8.50592E-05,0.001738435
Abca7,11.20286476,-0.129722628,0.139338758,-0.930987401,0.351860081,0.5920953
Abca8a,0.928061435,-0.319218088,0.458167174,-0.696728412,0.485972774,0.710100147
Abca8b,9.591123018,-0.698738672,0.223848687,-3.121477643,0.001799459,0.016806291
Abca9,2.430435501,0.03354097,0.262599816,0.127726554,0.898365375,0.95566385
Abcb10,8.425717568,0.296521581,0.179904411,1.648217403,0.099308067,0.27230367
Abcb11,1.169766007,1.256728013,0.522304863,2.406119685,0.016122982,0.079680565
Abcb1a,1.375039008,0.418158352,0.591599899,0.706826273,0.479674445,0.704923149
Abcb1b,3.219950094,-0.147986881,0.216166636,-0.684596308,0.493598698,0.716130485
Abcb4,5.699514463,-0.419123992,0.180944501,-2.316312409,0.020541217,0.094073553
Abcb5,0.128484128,0.198641709,1.331115964,0.149229454,0.881372579,NA
Abcb6,0.74483915,-0.294498514,0.32318919,-0.911226375,0.36217611,0.601338321
Abcb7,20.43621524,0.123312827,0.10177968,1.211566268,0.225678454,0.458623433
Abcb8,5.393323194,0.055685015,0.192386013,0.289444195,0.772241479,0.895355156
Abcb9,13.52035761,0.331200206,0.176682747,1.874547524,0.060854998,0.198966125
Abcc1,10.40659495,-0.182034648,0.139311481,-1.306673697,0.191323555,0.414375295
Abcc10,2.698536938,0.621898053,0.281814497,2.206763884,0.027330559,0.1146603
Abcc12,0.705736782,-0.48097964,0.670697327,-0.717133677,0.473291617,0.69964836
Abcc2,0.670421502,1.000949985,0.519918788,1.925204489,0.054203781,0.183805341
Abcc3,0.088663267,0.343277686,1.488493363,0.230620905,0.817609326,NA
Abcc4,11.79359362,0.223782127,0.151825898,1.473939095,0.14049799,0.341577246
Abcc5,52.12265058,0.190749801,0.066290771,2.877471441,0.004008762,0.029851108
Abcc6,0.456100606,0.56615536,0.795694626,0.711523418,0.476759944,0.702480797
Abcc8,13.05076234,0.171325519,0.143339221,1.195245217,0.231991237,0.465705262
Abcc9,1.168919807,0.729298093,0.543707191,1.341343476,0.179808961,0.39950833
Abcd1,1.725105394,-0.300883884,0.269363062,-1.117019838,0.263985843,0.505564119
Abcd2,5.755986453,-0.421766867,0.244713399,-1.723513584,0.084795691,0.247376881
Abcd3,10.763596,-0.024954296,0.12009361,-0.207790373,0.83539265,0.925579653
Abcd4,9.904884293,0.048163914,0.157968183,0.304896297,0.760445136,0.888509009
Abce1,8.779753745,0.026777449,0.136008317,0.19688097,0.843920686,0.928881361
Abcf1,21.03467485,0.510975478,0.125616144,4.067753237,4.74686E-05,0.001152683
Abcf2,2.386239981,0.030989439,0.22382741,0.138452386,0.889882898,0.952297606
Abcf3,3.394522693,0.134650511,0.218363825,0.616633783,0.537476307,0.750460891
Abcg1,7.027487602,0.301124213,0.142678601,2.110507181,0.034814693,0.135173472
Abcg2,3.687332708,0.006824712,0.209835545,0.032524097,0.9740541,0.98778481
Abcg3,0.337895997,1.08319721,0.814841175,1.329335389,0.183737344,0.404289599
Abcg4,5.72599988,0.287594285,0.193874349,1.483405547,0.137966694,0.337542492
Abcg5,0.118903793,0.194244231,2.981641194,0.065146749,0.948057159,NA
Abcg8,0.134584182,0.976837966,1.984460423,0.492243612,0.622547137,NA
Abhd10,3.098456537,-0.126789925,0.202966622,-0.624683623,0.532178724,0.746331693
Abhd11,2.005677891,-0.010398834,0.293256694,-0.035459836,0.971713072,0.987006961
Abhd11os,0.123600714,0.048702658,2.981595558,0.016334428,0.986967592,NA
Abhd12,18.43964064,0.131034769,0.096262502,1.361223389,0.173443105,0.390956476
Abhd12b,0.061756352,0.161520134,2.982086482,0.054163464,0.956804929,NA
Abhd13,1.279298461,-0.223235073,0.335886121,-0.664615354,0.506296546,0.725485832
Abhd14a,1.949523725,0.160836423,0.23266792,0.691270301,0.489395692,0.712413338
Abhd14b,4.006030204,0.152556171,0.252551328,0.604060064,0.54580371,0.756495772
Abhd15,3.892122395,1.048849334,0.215179646,4.874296226,1.09197E-06,5.99412E-05
Abhd16a,8.025467591,0.190108027,0.217031137,0.875948166,0.381058213,0.618841648
Abhd16b,0,NA,NA,NA,NA,NA
Abhd17a,3.179997464,0.859457192,0.249358313,3.446675508,0.00056753,0.00724688
Abhd17b,11.6490007,0.054841123,0.137182695,0.39976706,0.689328094,0.850206922
Abhd17c,3.218994048,0.487746505,0.224356466,2.173980155,0.029706626,0.121359231
Abhd18,45.64011882,0.356727136,0.099814594,3.573897574,0.000351707,0.005162807
Abhd2,8.375212387,-0.208343848,0.128071561,-1.626776831,0.103784504,0.28012822
