gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
a,23.48812616,0.410279199,0.234560984,1.749136585,0.080267413,0.217742039
A1bg,0.106247385,0.733232098,1.107179578,0.662252188,0.507809613,NA
A1cf,1.942828627,-0.057623735,0.319815029,-0.180178322,0.857012577,0.939898997
A26c2,0.513723578,-0.099191454,1.282617046,-0.077335207,0.938356884,0.975247285
A2m,13.88616203,-0.531792337,0.319470426,-1.664605841,0.095991419,0.24635281
A2ml1,2.789817116,0.119603297,0.30916779,0.386855622,0.698863097,0.859851862
A3galt2,2.682179166,0.159840366,0.298094544,0.536206947,0.591815533,0.79101519
A4galt,26.51779501,0.251332126,0.176531697,1.42372237,0.154526855,0.344208747
A4gnt,0.087531649,0.548071087,2.53031886,0.216601589,0.828518847,NA
Aaas,21.52109575,0.028021054,0.128985969,0.217241103,0.828020454,0.926798511
Aacs,61.49938308,0.130261974,0.100023,1.302320208,0.192806947,0.400063905
Aadac,0.157944928,0.254536301,1.248086363,0.203941256,0.838399405,NA
Aadacl2,0.072441858,0.139615212,2.982438687,0.046812433,0.96266272,NA
Aadacl2fm1,0.013437629,0.30299656,2.982998787,0.101574483,0.919094434,NA
Aadacl2fm2,0.037138512,0.247911961,2.122513055,0.116801148,0.907017634,NA
Aadacl2fm3,0.09201717,0.877577842,1.238776551,0.708423034,0.478682593,NA
Aadacl3,0.140827746,0.617190947,2.857801575,0.21596704,0.82901344,NA
Aadacl4,0.014199396,0.0171081,2.98285436,0.005735479,0.995423775,NA
Aadacl4fm1,0.001592801,0.349720942,2.982998787,0.117238044,0.90667142,NA
Aadacl4fm2,0.005511742,0.392691668,2.980855247,0.131737919,0.895191592,NA
AAdacl4fm3,0.031073118,0.209172135,2.723929632,0.07679058,0.938790145,NA
Aadacl4fm4,0,NA,NA,NA,NA,NA
Aadacl4fm5,0,NA,NA,NA,NA,NA
Aadat,1.622535904,0.144963813,0.33343607,0.434757443,0.663738498,0.838427776
Aaed1,45.90856449,-0.110766683,0.116105893,-0.954014302,0.340076403,0.577078151
Aagab,53.64388186,0.191453109,0.074764126,2.560761676,0.010444298,0.048804869
Aak1,682.7920679,-0.181772573,0.058743774,-3.094329157,0.001972585,0.013949169
Aamdc,57.50823104,0.214021007,0.071090748,3.01053249,0.0026079,0.017186109
Aamp,44.48818934,0.28649168,0.145504423,1.968955121,0.048958245,0.153269637
Aanat,10.07759184,0.01798949,0.141959391,0.126722789,0.899159808,0.958779768
Aar2,31.85988791,-0.044431455,0.093084319,-0.477324811,0.633130846,0.820175911
Aard,9.456016384,-0.172032307,0.213339216,-0.806379202,0.420024235,0.654685135
Aars,65.83376368,0.044185897,0.089388973,0.494310379,0.621086996,0.811641457
Aars2,21.76764658,-0.069920874,0.095984161,-0.728462623,0.466330441,0.694297336
Aarsd1,0,NA,NA,NA,NA,NA
Aasdh,30.18645926,0.14567923,0.099140245,1.469425756,0.141717346,0.323728962
Aasdhppt,18.93257606,0.639345187,0.10991892,5.816516295,6.00867E-09,5.19864E-07
Aass,3.32023437,0.114187529,0.333407786,0.342486089,0.731985111,0.877571954
Aatf,153.5164108,-0.045877785,0.06436853,-0.712736253,0.476008979,0.702438507
Aatk,215.1508768,-0.204984172,0.087802887,-2.334594885,0.019564594,0.078344126
Abat,326.0466674,-0.070522261,0.042231589,-1.669893606,0.094940416,0.244271775
Abca1,47.27844136,-0.086208215,0.164082615,-0.52539518,0.599308503,0.796277443
Abca12,2.265268111,-0.307011876,0.335977617,-0.913786695,0.360828939,0.59830808
Abca13,5.086907334,0.46953731,0.240467754,1.95259989,0.050867024,0.157454086
Abca14,2.880851151,1.097841828,0.345916913,3.173715386,0.001505012,0.011259737
Abca15,1.595308612,0.769197375,0.369038094,2.084330552,0.03713011,0.125404007
Abca16,2.628433979,0.272222917,0.28868052,0.942990255,0.345685888,0.583051792
Abca17,11.08586767,0.217652144,0.129983365,1.674461535,0.094039928,0.242708022
Abca2,80.60272753,-0.020851063,0.118251854,-0.176327576,0.860036599,0.941395311
Abca3,165.7563733,-0.14375366,0.054408512,-2.642117121,0.008238956,0.040954514
Abca4,10.09680217,0.153549554,0.169800885,0.904291836,0.365840674,0.603477247
Abca5,162.0833894,-0.168458822,0.069017884,-2.44079959,0.014654785,0.063264022
Abca6,26.99294758,0.3578353,0.120724757,2.964058971,0.003036101,0.019288688
Abca7,91.59318659,-0.067617336,0.080852082,-0.836309149,0.402981008,0.638555093
Abca8a,44.50125406,0.227986484,0.223507166,1.02004105,0.307708993,0.541664508
Abca8b,117.8872563,-0.195606104,0.08902521,-2.197199013,0.028006236,0.102072832
Abca9,29.67430885,0.335351254,0.123090813,2.724421479,0.006441425,0.033919349
Abcb10,65.9000145,0.084872782,0.087820713,0.966432399,0.333827859,0.570602568
Abcb11,13.07736985,1.105775323,0.278021216,3.977305537,6.97006E-05,0.00105138
Abcb1a,123.4612745,0.483067588,0.285905814,1.689603935,0.091103753,0.238225622
Abcb1b,26.80968493,-0.13710559,0.112216164,-1.221798937,0.221783671,0.438628961
Abcb4,42.3238587,0.0374681,0.095847542,0.390913514,0.695861164,0.858071363
Abcb5,1.797322722,0.213302524,0.529597768,0.402763262,0.68712239,0.853103194
Abcb6,5.246457724,-0.247568978,0.227692231,-1.087296553,0.276905772,0.507690217
Abcb7,147.9047242,0.032648674,0.064314237,0.507643025,0.611703712,0.80515902
Abcb8,43.46801151,0.082658935,0.126522029,0.653316545,0.513552228,0.733552084
Abcb9,86.97903539,-0.040810552,0.065044047,-0.627429477,0.53037775,0.746647655
Abcc1,83.62330305,-0.200159919,0.084498593,-2.368795889,0.017846099,0.073050672
Abcc10,27.69548258,0.280904036,0.152890742,1.837286103,0.06616767,0.190275452
Abcc12,2.997745316,-0.206280337,0.361770391,-0.570196848,0.568544194,0.775013006
Abcc2,6.188001209,0.337137261,0.222504723,1.515191484,0.129723919,0.304336898
Abcc3,2.820651458,-0.086729403,0.323962253,-0.267714533,0.788919063,0.906307058
Abcc4,114.3216786,-0.124955876,0.132514548,-0.942959677,0.345701528,0.583051792
Abcc5,402.3570259,0.005878057,0.070198235,0.083735106,0.933267044,0.973228122
Abcc6,13.65343895,0.667480308,0.250121794,2.668621142,0.007616331,0.038624469
Abcc8,58.39469428,-0.128806637,0.118816926,-1.084076496,0.278330883,0.508781242
Abcc9,44.92509362,1.080192315,0.29762544,3.629368228,0.000284116,0.003142609
Abcd1,17.79583564,-0.275579161,0.112787206,-2.443354791,0.014551424,0.063020303
Abcd2,45.86843434,-0.00090843,0.129563536,-0.007011466,0.994405705,0.997480925
Abcd3,92.87301308,0.086766785,0.075818982,1.144393946,0.252460298,0.478106762
Abcd4,83.19930093,-0.034363856,0.068261045,-0.503418257,0.614670238,0.80743518
Abce1,67.70665155,0.052771147,0.071422294,0.73886099,0.459991412,0.688346951
Abcf1,157.5108514,0.324046186,0.080431571,4.028843182,5.6052E-05,0.000886416
Abcf2,19.26171332,0.221203801,0.104205167,2.122771905,0.03377297,0.117146304
Abcf3,30.13587354,0.050315246,0.104612146,0.480969448,0.630538213,0.818441969
Abcg1,56.00943093,0.040399813,0.060227357,0.670788413,0.50235533,0.724158921
Abcg2,86.81008312,0.353327773,0.1841153,1.919057096,0.054977108,0.166580372
Abcg3,3.216336565,1.128994313,0.352483508,3.202970602,0.001360179,0.010401018
Abcg4,34.88776785,0.014048564,0.094161826,0.149195957,0.88139901,0.95068608
Abcg5,0.743596398,0.009629832,0.572367192,0.01682457,0.986576569,0.993984348
Abcg8,0.537720529,0.650983686,0.525739312,1.23822524,0.215632555,0.430718251
Abhd1,5.085541966,-0.119271602,0.40670065,-0.293266317,0.769318597,0.896408563
Abhd10,21.51531073,0.07861218,0.099485594,0.79018657,0.429418818,0.662771486
Abhd11,12.04148065,0.137946608,0.221160559,0.623739641,0.532798585,0.748487144
Abhd11os,1.256319509,-0.055876165,0.685654855,-0.081493137,0.935049783,0.97380952
Abhd12,151.3279732,0.016791102,0.07021898,0.239124829,0.81100879,0.918406136
Abhd12b,0.697563868,0.472278796,0.582494732,0.810786382,0.417488356,0.652091678
Abhd13,7.861525323,-0.06782494,0.17624245,-0.384838838,0.700356823,0.86041578
Abhd14a,14.06891197,-0.045033715,0.119336658,-0.377366988,0.705900896,0.863892287
Abhd14b,36.62140282,0.249274611,0.159529685,1.56255941,0.118156262,0.285316331
Abhd15,31.04188267,0.796780836,0.185823438,4.287838193,1.8042E-05,0.000371317
Abhd16a,65.60028715,-0.124654239,0.131774613,-0.945965508,0.344166179,0.581442286
Abhd16b,0,NA,NA,NA,NA,NA
Abhd17a,23.15508767,0.637036779,0.167991008,3.792088545,0.000149386,0.001900901
Abhd17b,136.7146878,0.012084858,0.063691312,0.18974108,0.849512028,0.936427018
Abhd17c,25.28097677,-0.002321116,0.076556709,-0.030318915,0.975812712,0.989454907
Abhd18,274.1200822,0.04796712,0.070083644,0.684426739,0.493705736,0.717075716
Abhd2,118.9241977,0.063393997,0.136514007,0.46437723,0.642377501,0.825656207
Abhd3,39.7827125,0.101793455,0.088157436,1.15467803,0.248222299,0.472942951
Abhd4,21.24442144,-0.013782135,0.121794551,-0.113158876,0.909904598,0.962583064
Abhd5,19.93494338,0.011858855,0.095065892,0.124743532,0.900726593,0.958779768
Abhd6,128.2143965,0.076310447,0.065613872,1.163023074,0.244820141,0.468968632
Abhd8,21.62389047,0.401222879,0.148913916,2.694327636,0.00705308,0.036431341
Abi1,187.4833864,0.055896218,0.077546625,0.720807873,0.471027731,0.698801273
Abi2,233.249664,-0.047582707,0.035479666,-1.341126138,0.179879502,0.382482565
Abi3,4.164385354,0.47177435,0.376293091,1.253741727,0.209935896,0.423038888
Abi3bp,39.346193,-0.146959444,0.169627497,-0.866365695,0.38628965,0.622494843
Abitram,5.32052718,0.277900148,0.153481592,1.810641547,0.070196357,0.198828743
Abl1,165.6285757,-0.01221897,0.043978603,-0.277838976,0.78113597,0.902200985
Abl2,219.7771348,-0.180752742,0.0361104,-5.005559155,5.57001E-07,2.38248E-05
Ablim1,553.204148,-0.025784896,0.10264236,-0.251211062,0.801650932,0.912605111
Ablim2,451.1320347,-0.221066139,0.06017545,-3.67369314,0.00023907,0.00275922
Ablim3,284.2809471,-0.18651439,0.079089774,-2.358261758,0.018360741,0.074626967
Abo,0.970093227,0.961793977,0.604617002,1.590749143,0.111666042,0.273989051
Abr,493.4660742,-0.297178185,0.067588933,-4.396846789,1.09835E-05,0.000255472
Abra,1.707885359,0.897967631,0.404442255,2.220261654,0.026401011,0.09776678
Abracl,13.5773108,0.410171483,0.150167737,2.731422149,0.006306164,0.033334665
Abraxas1,21.05654309,0.154245874,0.1079078,1.429422838,0.152882738,0.341664555
Abraxas2,48.44916057,0.232247042,0.07973521,2.91272878,0.003582856,0.021638293
Abt1,3.687742016,0.233554759,0.244237169,0.956262146,0.338939809,0.57619263
Abtb1,22.58325204,-0.629513242,0.112814571,-5.580070365,2.40421E-08,1.71074E-06
Abtb2,132.0393041,-0.154849222,0.124106621,-1.247711213,0.212136834,0.426008213
Acaa1a,61.35318242,-0.46426357,0.121100581,-3.833702258,0.000126229,0.001677251
Acaa1b,2.233673631,0.740211322,0.413714597,1.789183478,0.073585272,0.205241941
Acaa2,12.62849021,0.527184251,0.218983644,2.407413816,0.016065954,0.067651512
Acaca,562.9123819,-0.052194536,0.038109767,-1.369584212,0.170816731,0.368472806
Acacb,18.78141666,0.227890738,0.177932919,1.280767715,0.200275267,0.41034153
Acad10,43.62491747,0.301044346,0.112755125,2.669895002,0.007587497,0.038529573
Acad11,36.79013944,-0.316140218,0.103014373,-3.068894261,0.002148526,0.014835093
Acad12,17.86160881,0.650766575,0.204889751,3.176179247,0.001492287,0.011179183
Acad8,29.82628257,0.185719549,0.073975966,2.510539005,0.0120547,0.054490681
Acad9,15.39104548,0.190745219,0.094743361,2.013283221,0.044084842,0.142203345
Acadl,31.68319128,-0.007246286,0.130867799,-0.055371041,0.955842866,0.9828662
Acadm,34.19389673,-0.002447091,0.117487495,-0.020828525,0.983382443,0.99259527
Acads,11.97149583,-0.240407169,0.200830328,-1.19706606,0.231280808,0.450741035
Acadsb,185.726609,-0.159368649,0.04516938,-3.528245251,0.000418324,0.004237227
Acadvl,26.04313972,-0.262996792,0.133077305,-1.976270794,0.048124116,0.151342823
Acan,15.17687532,0.069858535,0.222738092,0.31363533,0.753798023,0.889068823
Acap1,1.792351823,-0.003823612,0.442853802,-0.008634028,0.993111128,0.996969328
Acap2,271.225376,0.004086334,0.058126186,0.070301093,0.943954012,0.977063198
Acap3,32.94937498,-0.152592089,0.117797619,-1.295374991,0.195190901,0.403069828
Acat1,254.8228688,0.069862866,0.058538745,1.193446583,0.232694521,0.452710826
Acat2,45.06823513,0.032320493,0.12207455,0.264760289,0.79119413,0.907210392
Acat3,5.788326864,-0.228419646,0.286295036,-0.797847038,0.424959261,0.659184684
Acbd3,89.09981963,0.314094575,0.08605091,3.650101719,0.000262136,0.002951473
Acbd4,33.05066429,-0.219372241,0.108690217,-2.018325537,0.043557369,0.140859955
Acbd5,164.8633655,-0.020681118,0.036949742,-0.559709395,0.575677673,0.780522112
Acbd6,234.6408549,-0.13232669,0.066736041,-1.982836962,0.047385644,0.149576491
Acbd7,0.654134422,0.447246383,0.549613224,0.813747492,0.415789621,0.650616615
Accs,15.24700533,0.239399699,0.159116349,1.504557521,0.132437874,0.308800887
Accsl,0.621076391,0.005399582,0.56164704,0.009613835,0.992329388,0.996493432
Acd,9.843216975,0.207304701,0.175753579,1.179519087,0.238191541,0.460554727
Ace,11.36725808,0.090426172,0.159031492,0.568605447,0.569623928,0.775638643
Ace2,7.030994567,0.251208861,0.451465113,0.556430283,0.577916742,0.78170757
Ace3,0.103206022,0.642104893,2.322152812,0.276512764,0.782154257,NA
Acer1,0.406941792,-0.032877921,0.605124767,-0.054332467,0.956670283,NA
Acer2,26.65261614,0.684128985,0.282230878,2.424004737,0.015350405,0.065340776
Acer3,248.8212825,-0.164821992,0.044284841,-3.721860342,0.00019776,0.002367424
Ache,69.06100756,-0.192697685,0.108893242,-1.76960187,0.076793487,0.211279214
Acin1,652.1391771,-0.055404692,0.035148594,-1.576298966,0.11495692,0.279571019
Ackr1,18.11615135,-0.384972198,0.144017196,-2.673098836,0.00751541,0.038262541
Ackr2,0.327478321,0.747792425,0.835832631,0.894667661,0.370964771,NA
Ackr3,16.52094121,0.37423548,0.224486456,1.667073761,0.095499739,0.245290412
Ackr4,16.26645695,0.752403475,0.219732908,3.424172928,0.000616674,0.005693388
Acly,112.5400757,-0.414105953,0.108451903,-3.818337367,0.000134354,0.001760632
Acmsd,2.925444558,0.881869628,0.306737543,2.874997363,0.004040309,0.023803119
Acnat1,5.160691886,0.011215392,0.224078708,0.050051129,0.960081644,0.984177044
Acnat2,1.08524102,0.907523644,0.43688243,2.077272009,0.037776461,0.126834065
Aco1,48.58142716,-0.235096936,0.105012385,-2.238754383,0.025171902,0.094161712
Aco2,197.9535083,0.028926719,0.033644994,0.859762935,0.389919734,0.625739946
Acod1,0.554944712,-0.351569525,0.696870298,-0.50449779,0.613911615,0.806763439
Acot1,2.088622052,0.928352759,0.421929742,2.200254369,0.027788853,0.101523542
Acot10,1.105915944,0.193395462,0.494889573,0.390785082,0.695956103,0.858090765
Acot11,37.59412779,0.219970551,0.195435409,1.125540929,0.260359884,0.487889089
Acot12,4.253929145,-0.220547421,0.231569601,-0.952402302,0.340892993,0.578221955
Acot13,29.45948456,0.303292182,0.124545971,2.435182602,0.014884276,0.06390785
Acot2,2.076018009,-0.013514583,0.435227775,-0.031051749,0.97522827,0.989170393
Acot3,0.095621529,0.076123439,1.090798071,0.069786922,0.944363257,NA
Acot4,0.006158602,0.176744145,2.980747308,0.059295246,0.952716948,NA
Acot5,1.210861714,-0.72634023,0.744800586,-0.975214364,0.329453939,0.566134322
Acot6,9.63680444,-0.289602716,0.212981154,-1.359757478,0.173906682,0.373116901
Acot7,178.1069789,0.031147688,0.065189364,0.477803217,0.632790271,0.820060288
Acot8,24.25430407,0.240027479,0.145253347,1.652474686,0.098437821,0.250811697
Acot9,26.60042058,0.197714278,0.125033082,1.581295726,0.113810436,0.277818123
Acox1,89.61754127,0.167326112,0.078606295,2.128660452,0.033282363,0.115866858
Acox2,2.670296756,1.251730172,0.339808894,3.683629816,0.000229936,0.002676845
Acox3,33.25130277,-0.065032448,0.076451209,-0.850639893,0.394969422,0.631094548
Acoxl,4.402006391,0.689994249,0.280369598,2.461016653,0.013854394,0.060692022
Acp1,37.46104791,0.505869543,0.182497182,2.771930704,0.00557249,0.030501136
Acp2,46.1683449,0.011795351,0.108719549,0.108493373,0.913604337,0.963962921
Acp4,0.140080019,-0.214455346,0.992090203,-0.216165168,0.828859003,NA
Acp5,0.88464298,0.772870113,0.583970955,1.323473549,0.185677947,0.390486142
Acp6,30.89903611,0.149137632,0.106351915,1.402303214,0.160824721,0.354073639
Acp7,4.016051878,-0.321043025,0.303159667,-1.0589899,0.289604379,0.521347228
Acpp,6.037765255,0.157672794,0.304215187,0.518293633,0.604253415,0.799945189
Acpt,0.381051094,-0.140878785,1.257559537,-0.112025539,0.910803157,NA
Acr,9.595754863,-0.582043583,0.155190439,-3.750511855,0.000176474,0.002168285
Acrbp,27.5429578,-0.008623508,0.106145673,-0.081242203,0.935249337,0.973967542
Acrv1,0.249227946,1.52452632,1.208429133,1.261576933,0.207101061,NA
Acsbg1,76.70666796,-0.201101046,0.232933427,-0.863341295,0.387949846,0.623937644
Acsbg2,0.766950627,-0.002399574,0.499364629,-0.004805254,0.996165977,0.998135022
Acsbg3,2.4709422,0.191093104,0.235450712,0.811605547,0.417018007,0.651610813
Acsf2,9.288538856,0.420152963,0.250879786,1.67471828,0.093989519,0.242661013
Acsf3,0,NA,NA,NA,NA,NA
Acsl1,125.7864301,-0.038655563,0.051727767,-0.747288443,0.454889467,0.683606179
Acsl3,174.1755441,0.076265221,0.080187812,0.951082455,0.34156252,0.578881456
Acsl4,131.1972658,0.156297631,0.064393804,2.427215348,0.015215221,0.064983335
Acsl5,14.73893457,-0.061648866,0.19543124,-0.315450417,0.752419692,0.888269675
Acsl6,155.0805017,-0.236030568,0.087025938,-2.712186435,0.006684099,0.034896343
Acsm1,0.191986689,0.778926051,1.336107907,0.582981395,0.559905825,NA
Acsm2,1.121746882,0.356766949,0.693328729,0.514571132,0.606852742,0.801787307
Acsm3,2.311061222,1.377246369,0.472202803,2.916641662,0.00353822,0.021447504
Acsm4,0.514490337,1.016920527,0.606935458,1.675500275,0.093836117,0.242373714
Acsm5,3.063965004,0.288897849,0.464654458,0.621747718,0.534107769,0.749680794
Acss1,54.84167188,0.263162866,0.163159804,1.61291482,0.106763015,0.265758304
Acss2,296.3465204,-0.009801854,0.08840665,-0.11087236,0.911717564,0.96317575
Acss2os,6.589439319,0.947980807,0.313313084,3.025666191,0.00248086,0.016549454
Acss3,46.05858291,-0.091109276,0.197606934,-0.461063152,0.644753297,0.826838424
Acta1,0.801531651,0.645032905,0.552066274,1.168397592,0.242646426,0.466247751
Acta2,42.27283135,-0.694288744,0.270930051,-2.562612527,0.010388792,0.04860516
Actb,197.6923418,0.548063882,0.197245345,2.778589695,0.005459544,0.030049359
Actbl2,0.095394588,-0.489612498,2.370072626,-0.206581222,0.836336927,NA
Actc1,0.469151718,0.298805228,0.632208309,0.472637301,0.636471966,NA
Acte1,0.099615818,0.62938457,1.082527892,0.581402636,0.560969121,NA
Actg1,17.49349296,0.636097499,0.282527123,2.2514564,0.024356645,0.092023846
Actg2,1.31516657,1.148014998,0.346965033,3.308733987,0.000937188,0.007831473
Actg-ps1,0.083231867,0.411338025,2.982779429,0.137904272,0.890316074,NA
Actl10,0.045175213,0.498519224,2.981890594,0.167182265,0.867226638,NA
Actl11,0,NA,NA,NA,NA,NA
Actl6a,42.41666508,0.41343381,0.151183111,2.734656055,0.006244549,0.033098484
Actl6b,70.92312752,-0.128083728,0.13136936,-0.974989355,0.32956554,0.566272444
Actl7a,0.005440443,0.392691114,2.980855252,0.131737733,0.895191739,NA
Actl7b,0.196041011,0.615887191,1.44131728,0.427308546,0.669154609,NA
Actl9,0.247803971,0.17671215,1.060009572,0.16670807,0.867599755,NA
Actn1,86.31229428,-0.04794675,0.073644356,-0.651058043,0.515009019,0.734810196
Actn2,64.35391037,-0.203572091,0.074626722,-2.727871276,0.006374448,0.033642093
Actn3,0.547224423,-0.261220078,0.757797957,-0.344709398,0.730312852,0.876659442
Actn4,143.9859615,-0.010101359,0.071222734,-0.141827732,0.887216079,0.953193906
Actr10,96.67577574,0.029532684,0.06134264,0.481438095,0.630205167,0.81820177
Actr1a,79.57899422,0.047848116,0.118135029,0.405029025,0.685456176,0.851975739
Actr1b,101.4345371,0.026478359,0.089087744,0.297216629,0.766301127,0.895208679
Actr2,152.9443348,0.081381351,0.052077051,1.562710432,0.11812072,0.285282601
Actr3,92.5566007,0.140645933,0.089823066,1.565810869,0.117392901,0.283899242
Actr3b,82.40476315,-0.0669678,0.120973022,-0.553576318,0.579868837,0.782934177
Actr5,18.59329197,0.435741049,0.128608764,3.388113188,0.000703752,0.006298747
Actr6,26.32001875,0.045489332,0.091285397,0.498319928,0.618258564,0.809680859
Actr8,35.91477769,0.039851409,0.089284722,0.446340741,0.655351131,0.834237716
Actrt1,0,NA,NA,NA,NA,NA
Actrt2,0,NA,NA,NA,NA,NA
Actrt3,1.049791215,1.012818772,0.365121451,2.773922949,0.005538479,0.030395101
Acvr1,135.2768155,-0.131421404,0.089888244,-1.462053293,0.143726607,0.32697803
Acvr1b,34.99830676,-0.242779561,0.119581978,-2.030235367,0.04233262,0.138032746
Acvr1c,11.84083932,-0.045614595,0.177329544,-0.257230655,0.797000721,0.910897846
Acvr2a,130.1681647,0.044206703,0.060420731,0.731647933,0.464383484,0.692497431
Acvr2b,41.56080058,0.066598441,0.120678321,0.551867476,0.581039153,0.783992382
Acvrl1,14.2251022,0.350688519,0.433322598,0.809301247,0.418341889,0.653133772
Acy1,11.3553117,-0.020223742,0.208158157,-0.097155655,0.922602784,0.968278992
Acy3,3.574252222,0.673408812,0.315535601,2.134176969,0.032828297,0.114793499
Acyp1,12.34621306,0.477029109,0.134418089,3.548846083,0.000386923,0.003989938
Acyp2,558.0495557,-0.104652854,0.067591027,-1.548324662,0.12154415,0.290697319
Ada,0.883299251,0.07391686,0.415218745,0.178019083,0.858707989,0.940697892
Adad1,2.374481413,0.160871055,0.283464008,0.567518452,0.570361994,0.776375109
Adad2,1.033914214,0.190539873,0.596657284,0.319345592,0.749464464,0.886923881
Adal,63.8712946,0.050217155,0.086699699,0.579207951,0.562448867,0.770289877
Adam10,241.6652766,0.138608721,0.058768834,2.358541274,0.018346919,0.074609841
Adam11,36.45903893,-0.244028567,0.109471271,-2.229156237,0.025803511,0.096068133
Adam12,88.04947028,-0.300527018,0.123604558,-2.431358697,0.015042314,0.064389337
Adam15,68.45886451,-0.292088236,0.093348819,-3.128997673,0.001754037,0.012722756
Adam17,64.62471809,-0.013606762,0.064310925,-0.211577772,0.832436452,0.928010295
Adam18,5.480959738,0.302913855,0.26821023,1.129389638,0.258733502,0.486317637
Adam19,82.80671928,-0.105043775,0.089300618,-1.176293933,0.239477439,0.462219384
Adam1a,0.217048628,-0.42229734,0.904267866,-0.467004696,0.640496518,NA
Adam1b,0.070253924,0.377882859,2.021867664,0.186897919,0.851740671,NA
Adam2,4.273232536,0.168788193,0.425889873,0.39631887,0.691869808,0.855450829
Adam20,0.041217113,0.288724254,2.98293069,0.096792143,0.922891464,NA
Adam21,6.528814575,-0.048132715,0.196466285,-0.244992239,0.806462441,0.915653209
Adam22,679.9949318,-0.243655168,0.079582288,-3.061675841,0.002201017,0.015106197
Adam23,687.6008748,-0.313240502,0.07531538,-4.159050922,3.19573E-05,0.000575468
Adam24,0.192826465,0.881150111,1.080793574,0.815280671,0.41491167,NA
Adam25,0.130786471,0.01061309,0.88024025,0.012057037,0.990380109,NA
Adam26a,0.040639413,0.523915516,2.576121825,0.203373734,0.838842928,NA
Adam26b,0.558099869,0.399138408,0.720388021,0.554060306,0.579537574,0.782728548
